"","time","factor","gender","trial","response"
"1","12:17:19",4,"Male","stage1_0",6.28847
"2","12:17:19",4,"Male","stage1_1",2.62927
"3","12:17:19",4,"Male","stage1_2",1.32918
"4","12:17:19",4,"Male","stage1_3",1.01748
"5","12:17:19",4,"Male","stage1_4",1.6037
"6","12:17:19",4,"Male","stage1_5",1.00932
"7","12:17:19",4,"Male","stage1_6",2.71269
"8","12:17:19",4,"Male","stage1_7",1.1852
"9","12:17:19",4,"Male","stage1_8",2.57489
"10","12:17:19",4,"Male","stage1_9",0.85334
"11","12:17:19",4,"Male","stage2_0",1.92496
"12","12:17:19",4,"Male","stage2_1",0.94294
"13","12:17:19",4,"Male","stage2_2",0.84435
"14","12:17:19",4,"Male","stage2_3",0.70935
"15","12:17:19",4,"Male","stage2_4",0.83364
"16","12:17:19",4,"Male","stage2_5",1.84419
"17","12:17:19",4,"Male","stage2_6",0.78866
"18","12:17:19",4,"Male","stage2_7",3.70249
"19","12:17:19",4,"Male","stage2_8",0.94923
"20","12:17:19",4,"Male","stage2_9",1.21943
"21","12:17:19",4,"Male","stage3_0",11.29415
"22","12:17:19",4,"Male","stage3_1",1.05947
"23","12:17:19",4,"Male","stage3_2",0.97249
"24","12:17:19",4,"Male","stage3_3",1.82683
"25","12:17:19",4,"Male","stage3_4",3.56939
"26","12:17:19",4,"Male","stage3_5",0.63161
"27","12:17:19",4,"Male","stage3_6",0.72515
"28","12:17:19",4,"Male","stage3_7",0.84512
"29","12:17:19",4,"Male","stage3_8",0.97167
"30","12:17:19",4,"Male","stage3_9",1.44955
"31","12:17:19",4,"Male","stage3_10",0.87079
"32","12:17:19",4,"Male","stage3_11",1.16162
"33","12:17:19",4,"Male","stage3_12",0.8011
"34","12:17:19",4,"Male","stage3_13",0.72799
"35","12:17:19",4,"Male","stage3_14",0.72913
"36","12:17:19",4,"Male","stage3_15",0.77936
"37","12:17:19",4,"Male","stage3_16",0.6536
"38","12:17:19",4,"Male","stage3_17",0.68486
"39","12:17:19",4,"Male","stage3_18",0.7253
"40","12:17:19",4,"Male","stage3_19",0.69643
"41","12:17:19",4,"Male","stage4_0",3.99426
"42","12:17:19",4,"Male","stage4_1",1.10262
"43","12:17:19",4,"Male","stage4_2",2.07535
"44","12:17:19",4,"Male","stage4_3",0.80136
"45","12:17:19",4,"Male","stage4_4",2.15223
"46","12:17:19",4,"Male","stage4_5",0.62339
"47","12:17:19",4,"Male","stage4_6",0.5313
"48","12:17:19",4,"Male","stage4_7",0.58743
"49","12:17:19",4,"Male","stage4_8",0.63725
"50","12:17:19",4,"Male","stage4_9",0.67701
"51","12:17:19",4,"Male","stage5_0",2.4948
"52","12:17:19",4,"Male","stage5_1",1.00981
"53","12:17:19",4,"Male","stage5_2",2.6539
"54","12:17:19",4,"Male","stage5_3",0.68784
"55","12:17:19",4,"Male","stage5_4",1.90165
"56","12:17:19",4,"Male","stage5_5",0.87414
"57","12:17:19",4,"Male","stage5_6",0.87708
"58","12:17:19",4,"Male","stage5_7",0.84092
"59","12:17:19",4,"Male","stage5_8",1.87999
"60","12:17:19",4,"Male","stage5_9",0.72952
"61","12:17:19",4,"Male","stage5_10",0.03061
"62","12:17:19",4,"Male","stage5_11",3.70199
"63","12:17:19",4,"Male","stage5_12",5.74164
"64","12:17:19",4,"Male","stage5_13",2.26502
"65","12:17:19",4,"Male","stage5_14",0.87493
"66","12:17:19",4,"Male","stage5_15",2.9272
"67","12:17:19",4,"Male","stage5_16",4.12858
"68","12:17:19",4,"Male","stage5_17",2.58217
"69","12:17:19",4,"Male","stage5_18",5.37872
"70","12:17:19",4,"Male","stage5_19",0.81961
"71","12:17:19",4,"Male","cp",1
"72","12:21:36",2,"Female","stage1_0",0.96048
"73","12:21:36",2,"Female","stage1_1",1.14943
"74","12:21:36",2,"Female","stage1_2",0.98147
"75","12:21:36",2,"Female","stage1_3",0.76248
"76","12:21:36",2,"Female","stage1_4",0.69109
"77","12:21:36",2,"Female","stage1_5",0.77809
"78","12:21:36",2,"Female","stage1_6",0.70952
"79","12:21:36",2,"Female","stage1_7",0.70717
"80","12:21:36",2,"Female","stage1_8",0.69781
"81","12:21:36",2,"Female","stage1_9",0.64429
"82","12:21:36",2,"Female","stage2_0",2.14004
"83","12:21:36",2,"Female","stage2_1",0.7591
"84","12:21:36",2,"Female","stage2_2",0.61439
"85","12:21:36",2,"Female","stage2_3",0.79871
"86","12:21:36",2,"Female","stage2_4",0.55448
"87","12:21:36",2,"Female","stage2_5",0.69604
"88","12:21:36",2,"Female","stage2_6",0.81419
"89","12:21:36",2,"Female","stage2_7",0.79762
"90","12:21:36",2,"Female","stage2_8",1.14835
"91","12:21:36",2,"Female","stage2_9",0.7619
"92","12:21:36",2,"Female","stage3_0",5.76758
"93","12:21:36",2,"Female","stage3_1",0.81525
"94","12:21:36",2,"Female","stage3_2",0.83289
"95","12:21:36",2,"Female","stage3_3",0.64676
"96","12:21:36",2,"Female","stage3_4",1.21046
"97","12:21:36",2,"Female","stage3_5",0.75741
"98","12:21:36",2,"Female","stage3_6",1.02427
"99","12:21:36",2,"Female","stage3_7",0.77235
"100","12:21:36",2,"Female","stage3_8",0.6716
"101","12:21:36",2,"Female","stage3_9",0.84597
"102","12:21:36",2,"Female","stage3_10",0.69841
"103","12:21:36",2,"Female","stage3_11",0.78175
"104","12:21:36",2,"Female","stage3_12",0.96787
"105","12:21:36",2,"Female","stage3_13",0.56799
"106","12:21:36",2,"Female","stage3_14",0.75179
"107","12:21:36",2,"Female","stage3_15",1.44451
"108","12:21:36",2,"Female","stage3_16",0.67728
"109","12:21:36",2,"Female","stage3_17",0.62757
"110","12:21:36",2,"Female","stage3_18",0.66172
"111","12:21:36",2,"Female","stage3_19",0.51967
"112","12:21:36",2,"Female","stage4_0",1.30135
"113","12:21:36",2,"Female","stage4_1",0.78914
"114","12:21:36",2,"Female","stage4_2",2.41151
"115","12:21:36",2,"Female","stage4_3",0.77355
"116","12:21:36",2,"Female","stage4_4",0.60769
"117","12:21:36",2,"Female","stage4_5",0.65043
"118","12:21:36",2,"Female","stage4_6",1.29704
"119","12:21:36",2,"Female","stage4_7",1.04719
"120","12:21:36",2,"Female","stage4_8",0.58321
"121","12:21:36",2,"Female","stage4_9",1.01659
"122","12:21:36",2,"Female","stage5_0",2.31552
"123","12:21:36",2,"Female","stage5_1",0.01453
"124","12:21:36",2,"Female","stage5_2",1.01866
"125","12:21:36",2,"Female","stage5_3",0.70249
"126","12:21:36",2,"Female","stage5_4",0.98186
