time,gender,factor,1_avg,2_avg,3_avg,4_avg,5_avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:47:50,2,Male,1.25553,0.64376,0.70078,0.61022,0.60784,0.81462,0.77647,0.63791,0.66096,0.65597,0.93647,0.72397,0.58255,0.63935,0.63335,0.6147,0.64003,0.58493,0.69698,1.10298,0.94972,0.67146,0.59739,1.19307,0.72396,1.00259,0.60527,0.66204,0.85803,0.59981,0.60014,0.58888,0.60086,0.60213,0.70897,0.79599,0.80604,0.75195,1.60395,0.71405,1.48488,0.66133,0.54968,0.62755,0.56114,0.60691,0.71298,0.68953,0.75411,0.66599,1.09359,0.65297,0.571,0.61901,0.65591,0.65799,1.04803,0.81536,0.59142,0.57816,0.66899,0.56116,0.57977,0.59104,0.52674,0.54613,1.02997,1.03706,0.74695,0.62502,
12:53:05,4,Male,1.10227,1.052,1.07427,1.15797,1.29693,0.82919,0.99394,1.02791,1.26545,1.60246,1.61438,0.71066,0.6406,0.5864,0.60785,0.51401,0.59385,0.67611,0.60666,0.60209,0.88406,0.76811,0.99398,0.73496,0.75833,1.3996,1.40288,1.41698,0.61674,0.72208,0.74709,1.0953,0.67875,1.33406,0.73068,0.72096,1.32717,0.89602,1.03286,1.88066,3.84369,1.12354,0.66928,0.87101,2.17482,1.33923,0.7309,0.68103,0.81632,0.62737,1.01355,0.73218,0.94073,1.7473,1.08663,0.89193,0.7014,1.61507,0.60559,0.60348,1.0193,1.04716,0.84211,1.01301,1.00672,0.62817,0.69189,0.5011,1.01659,1.02715,
